player,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense
Aaron Mooy,MF,Australia,32-083,1990,4.0,5,1.25,2,2,0,0,1,0,0,0.00,0,0,0,0,0,0
Aaron Ramsey,MF,Wales,31-346,1990,3.0,3,1.02,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Abdelhamid Sabiri,MF,Morocco,26-009,1996,1.5,4,3.43,2,1,0,1,0,0,1,0.86,0,1,0,0,0,0
Abdelkarim Hassan,DF,Qatar,29-101,1993,3.0,4,1.33,4,0,0,0,0,0,1,0.33,1,0,0,0,0,0
Abderrazak Hamdallah,FW,Morocco,31-355,1990,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdessamad Ezzalzouli,FW,Morocco,20-355,2001,0.9,1,1.76,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdou Diallo,DF,Senegal,26-217,1996,3.7,2,0.54,2,0,0,0,0,0,1,0.27,1,0,0,0,0,0
Abdul Fatawu Issahaku,FW,Ghana,18-274,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,32-040,1990,2.2,2,0.92,0,1,0,0,0,1,0,0.00,0,0,0,0,0,0
Abdulelah Al-Amri,DF,Saudi Arabia,25-326,1997,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdulellah Al-Malki,MF,Saudi Arabia,28-057,1994,1.9,2,1.03,2,0,0,0,0,0,1,0.52,1,0,0,0,0,0
Abdullah Madu,DF,Saudi Arabia,29-145,1993,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-189,1995,0.4,1,2.57,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abolfazl Jalali,DF,IR Iran,24-164,1998,0.2,1,4.74,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Achraf Hakimi,DF,Morocco,24-033,1998,4.0,9,2.45,7,0,1,0,1,0,1,0.27,1,0,0,0,0,0
Adrien Rabiot,MF,France,27-248,1995,3.3,8,2.42,7,0,0,1,0,0,1,0.30,1,0,0,0,0,0
Agustín Canobbio,MF,Uruguay,24-067,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ahmad Nourollahi,MF,IR Iran,29-308,1993,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ahmed Alaaeldin,FW,Qatar,29-310,1993,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,25-313,1997,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ajdin Hrustic,MF,Australia,26-155,1996,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Akram Afif,FW,Qatar,26-019,1996,3.0,7,2.33,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Alan Franco,MF,Ecuador,24-108,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alejandro Balde,DF,Spain,19-050,2003,1.4,2,1.75,1,0,0,0,1,0,1,0.87,1,0,0,0,0,0
Aleksandar Mitrović,FW,Serbia,28-082,1994,2.9,3,1.03,1,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Alex Sandro,DF,Brazil,31-315,1991,1.9,6,3.09,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Alex Telles,DF,Brazil,29-357,1992,0.7,1,1.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexander Bah,DF,Denmark,24-363,1997,0.5,4,7.83,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Alexander Djiku,DF,Ghana,28-120,1994,1.1,1,0.93,1,0,0,0,0,0,1,0.93,1,0,0,0,0,0
Alexis Mac Allister,MF,Argentina,23-348,1998,2.6,8,3.13,8,0,0,0,0,0,1,0.39,1,0,0,0,0,0
Alexis Vega,FW,Mexico,25-012,1997,2.1,4,1.87,2,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Ali Abdi,DF,Tunisia,28-352,1993,2.1,3,1.44,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Al Hassan,MF,Saudi Arabia,25-278,1997,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Al-Bulaihi,DF,Saudi Arabia,33-016,1989,2.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Assadalla,MF,Qatar,29-322,1993,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Gholizadeh,MF,IR Iran,26-272,1996,2.2,7,3.18,5,1,0,1,0,0,1,0.45,1,0,0,0,0,0
Ali Karimi,MF,IR Iran,28-299,1994,1.1,1,0.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ali Maâloul,DF,Tunisia,32-340,1990,1.0,2,2.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Alidu Seidu,DF,Ghana,22-186,2000,1.7,2,1.16,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Alireza Beiranvand,GK,IR Iran,30-077,1992,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alireza Jahanbakhsh,MF,IR Iran,29-118,1993,0.7,4,6.10,3,0,0,1,0,0,2,3.05,1,0,0,1,0,0
Alisson,GK,Brazil,30-066,1992,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alistair Johnston,DF,Canada,24-060,1998,3.0,8,2.67,6,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Almoez Ali,FW,Qatar,26-110,1996,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alphonso Davies,MF,Canada,22-035,2000,3.0,8,2.67,6,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Amadou Onana,MF,Belgium,21-113,2001,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-021,1995,2.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andreas Christensen,DF,Denmark,26-241,1996,3.0,2,0.67,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Andreas Cornelius,FW,Denmark,29-266,1993,1.0,5,4.89,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Andreas Skov Olsen,FW,Denmark,22-343,1999,1.5,3,2.05,2,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Andrej Kramarić,FW,Croatia,31-171,1991,3.0,6,1.99,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Andries Noppert,GK,Netherlands,28-244,1994,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andrija Živković,DF,Serbia,26-149,1996,2.3,7,3.00,6,0,0,1,0,0,2,0.86,2,0,0,0,0,0
André Ayew,MF,Ghana,32-355,1989,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
André Onana,GK,Cameroon,26-249,1996,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
André Silva,FW,Portugal,27-031,1995,0.3,3,10.38,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andrés Guardado,MF,Mexico,36-070,1986,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Anis Ben Slimane,MF,Tunisia,21-266,2001,1.6,7,4.26,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0
Ansu Fati,FW,Spain,20-037,2002,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ante Budimir,FW,Croatia,31-138,1991,0.5,1,2.05,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Anthony Contreras,FW,Costa Rica,22-312,2000,1.4,1,0.72,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Antoine Griezmann,MF,France,31-261,1991,3.2,22,6.90,12,8,0,2,0,0,1,0.31,1,0,0,0,0,0
Antoine Semenyo,FW,Ghana,22-334,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Antonee Robinson,DF,United States,25-121,1997,4.0,8,2.01,7,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Antonio Rüdiger,DF,Germany,29-279,1993,3.0,4,1.33,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Antony,FW,Brazil,22-286,2000,1.2,4,3.36,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0
António Silva,DF,Portugal,19-038,2003,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ao Tanaka,MF,Japan,24-088,1998,1.9,2,1.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ardon Jasari,FW,Switzerland,20-130,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Arkadiusz Milik,FW,Poland,28-282,1994,1.1,2,1.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Artur Jędrzejczyk,DF,Poland,35-033,1987,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Asiri Haitham,FW,Saudi Arabia,21-257,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Assim Madibo,MF,Qatar,26-046,1996,1.7,2,1.18,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Atiba Hutchinson,MF,Canada,39-302,1983,1.8,2,1.13,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Aurélien Tchouaméni,MF,France,22-314,2000,3.6,10,2.80,8,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Awer Mabil,MF,Australia,27-083,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Axel Disasi,DF,France,24-271,1998,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Axel Witsel,MF,Belgium,33-329,1989,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ayase Ueda,FW,Japan,24-088,1998,0.5,1,2.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aymeric Laporte,DF,Spain,28-194,1994,3.3,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aziz Behich,DF,Australia,31-356,1990,4.0,6,1.50,2,1,2,1,0,0,0,0.00,0,0,0,0,0,0
Azzedine Ounahi,MF,Morocco,22-232,2000,3.9,5,1.27,3,0,1,0,1,0,0,0.00,0,0,0,0,0,0
Aïssa Laïdouni,MF,Tunisia,25-359,1996,2.7,4,1.48,4,0,0,0,0,0,1,0.37,1,0,0,0,0,0
Baba Rahman,DF,Ghana,28-158,1994,2.0,5,2.46,5,0,0,0,0,0,1,0.49,1,0,0,0,0,0
Badr Banoun,DF,Morocco,29-068,1993,0.0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
Bailey Wright,DF,Australia,30-132,1992,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Bamba Dieng,FW,Senegal,22-259,2000,1.1,4,3.60,1,0,0,0,3,0,0,0.00,0,0,0,0,0,0
