player,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Aaron Mooy,MF,Australia,32-083,1990,4.0,255,14,62,168,26,0,255,2,3,66.7,5,4,152,1
Aaron Ramsey,MF,Wales,31-346,1990,3.0,147,6,32,73,42,5,147,2,8,25.0,9,4,98,7
Abdelhamid Sabiri,MF,Morocco,26-009,1996,1.5,70,5,23,36,11,1,70,0,0,,0,2,40,0
Abdelkarim Hassan,DF,Qatar,29-101,1993,3.0,193,15,83,95,17,2,193,1,5,20.0,2,0,138,1
Abderrazak Hamdallah,FW,Morocco,31-355,1990,0.5,17,2,2,7,8,1,17,0,0,,4,3,15,3
Abdessamad Ezzalzouli,FW,Morocco,20-355,2001,0.9,33,1,16,7,12,2,33,0,1,0.0,9,1,13,1
Abdou Diallo,DF,Senegal,26-217,1996,3.7,210,19,98,98,15,1,210,0,0,,2,2,138,0
Abdul Fatawu Issahaku,FW,Ghana,18-274,2004,0.0,2,0,0,2,0,0,2,0,1,0.0,0,0,1,0
Abdulaziz Hatem,MF,Qatar,32-040,1990,2.2,98,1,13,65,20,0,98,1,1,100.0,1,1,80,2
Abdulelah Al-Amri,DF,Saudi Arabia,25-326,1997,2.0,129,12,58,65,7,2,129,0,0,,1,0,63,0
Abdulellah Al-Malki,MF,Saudi Arabia,28-057,1994,1.9,105,6,28,63,17,1,105,0,0,,3,0,58,2
Abdullah Madu,DF,Saudi Arabia,29-145,1993,0.5,19,4,12,8,0,0,19,0,0,,0,0,6,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-189,1995,0.4,22,0,3,5,14,2,22,0,3,0.0,2,0,12,4
Abolfazl Jalali,DF,IR Iran,24-164,1998,0.2,34,1,5,18,12,0,34,1,5,20.0,0,1,18,1
Achraf Hakimi,DF,Morocco,24-033,1998,4.0,260,14,105,102,56,6,260,1,6,16.7,5,4,137,7
Adrien Rabiot,MF,France,27-248,1995,3.3,233,10,39,131,64,15,233,1,4,25.0,4,4,174,14
Agustín Canobbio,MF,Uruguay,24-067,1998,0.1,11,1,5,1,5,0,11,0,0,,0,0,6,0
Ahmad Nourollahi,MF,IR Iran,29-308,1993,2.5,85,10,28,37,22,0,85,1,2,50.0,3,0,39,1
Ahmed Alaaeldin,FW,Qatar,29-310,1993,0.1,2,0,0,2,0,0,2,0,0,,0,0,1,0
Aimen Dahmen,GK,Tunisia,25-313,1997,3.0,82,73,82,0,0,0,82,0,0,,0,0,34,0
Ajdin Hrustic,MF,Australia,26-155,1996,0.7,32,3,6,15,12,1,32,1,4,25.0,2,1,21,4
Akram Afif,FW,Qatar,26-019,1996,3.0,181,1,11,122,50,2,181,3,7,42.9,5,5,141,10
Alan Franco,MF,Ecuador,24-108,1998,0.5,16,1,5,10,1,0,16,0,0,,1,0,9,0
Alejandro Balde,DF,Spain,19-050,2003,1.4,135,0,17,86,33,3,135,0,2,0.0,2,3,109,4
Aleksandar Mitrović,FW,Serbia,28-082,1994,2.9,95,1,3,54,39,14,95,1,1,100.0,6,3,67,12
Alex Sandro,DF,Brazil,31-315,1991,1.9,187,6,43,108,37,0,187,1,2,50.0,1,0,118,4
Alex Telles,DF,Brazil,29-357,1992,0.7,46,0,12,21,14,1,46,0,0,,1,0,32,0
Alexander Bah,DF,Denmark,24-363,1997,0.5,65,1,22,19,24,3,65,0,2,0.0,0,0,36,2
Alexander Djiku,DF,Ghana,28-120,1994,1.1,43,15,33,10,0,0,43,0,0,,0,0,18,0
Alexis Mac Allister,MF,Argentina,23-348,1998,2.6,159,0,16,75,69,5,159,1,3,33.3,4,1,123,12
Alexis Vega,FW,Mexico,25-012,1997,2.1,85,1,8,42,35,8,85,1,4,25.0,6,8,50,9
Ali Abdi,DF,Tunisia,28-352,1993,2.1,152,16,66,61,26,3,152,1,2,50.0,5,4,67,11
Ali Al Hassan,MF,Saudi Arabia,25-278,1997,0.5,15,1,4,8,3,1,15,0,0,,1,1,5,0
Ali Al-Bulaihi,DF,Saudi Arabia,33-016,1989,2.4,110,7,54,55,1,0,110,0,0,,2,0,65,0
Ali Assadalla,MF,Qatar,29-322,1993,0.3,24,0,5,14,6,0,24,1,1,100.0,0,0,22,0
Ali Gholizadeh,MF,IR Iran,26-272,1996,2.2,86,5,22,35,33,3,86,4,8,50.0,2,2,51,7
Ali Karimi,MF,IR Iran,28-299,1994,1.1,55,2,10,33,12,1,55,0,0,,1,0,36,3
Ali Maâloul,DF,Tunisia,32-340,1990,1.0,70,3,12,28,30,0,70,0,0,,0,1,34,3
Alidu Seidu,DF,Ghana,22-186,2000,1.7,98,3,37,42,22,1,98,4,6,66.7,4,0,49,0
Alireza Beiranvand,GK,IR Iran,30-077,1992,1.2,34,30,33,1,0,0,34,0,0,,0,0,17,0
Alireza Jahanbakhsh,MF,IR Iran,29-118,1993,0.7,27,0,6,12,9,1,27,1,1,100.0,1,0,13,3
Alisson,GK,Brazil,30-066,1992,2.9,70,61,70,0,0,0,70,0,0,,1,0,27,0
Alistair Johnston,DF,Canada,24-060,1998,3.0,209,8,61,106,44,5,209,1,1,100.0,4,1,121,4
Almoez Ali,FW,Qatar,26-110,1996,2.5,66,1,5,41,20,6,66,0,3,0.0,6,3,48,8
Alphonso Davies,MF,Canada,22-035,2000,3.0,156,3,13,62,87,7,156,11,24,45.8,11,7,94,15
Amadou Onana,MF,Belgium,21-113,2001,1.2,74,0,11,58,6,3,74,1,1,100.0,4,1,59,1
Andre-Frank Zambo Anguissa,MF,Cameroon,27-021,1995,2.9,159,3,46,82,33,3,159,4,5,80.0,5,5,117,3
Andreas Christensen,DF,Denmark,26-241,1996,3.0,280,25,106,173,4,2,280,0,0,,2,1,217,1
Andreas Cornelius,FW,Denmark,29-266,1993,1.0,48,1,3,15,30,11,48,1,1,100.0,4,1,41,15
Andreas Skov Olsen,FW,Denmark,22-343,1999,1.5,76,2,7,24,45,13,76,0,2,0.0,4,4,59,19
Andrej Kramarić,FW,Croatia,31-171,1991,3.0,122,0,6,51,67,12,122,3,6,50.0,3,6,99,18
Andries Noppert,GK,Netherlands,28-244,1994,4.0,146,135,145,1,0,0,146,0,0,,0,0,68,0
Andrija Živković,DF,Serbia,26-149,1996,2.3,118,7,34,48,40,3,118,0,1,0.0,4,1,72,4
André Ayew,MF,Ghana,32-355,1989,2.2,61,3,12,31,19,4,60,0,2,0.0,5,4,35,5
André Onana,GK,Cameroon,26-249,1996,0.9,60,34,56,4,0,0,60,0,0,,0,0,32,0
André Silva,FW,Portugal,27-031,1995,0.3,14,0,0,7,7,1,14,0,0,,1,1,12,4
Andrés Guardado,MF,Mexico,36-070,1986,0.5,22,0,6,16,1,0,22,0,0,,0,1,10,0
Anis Ben Slimane,MF,Tunisia,21-266,2001,1.6,72,1,11,22,40,5,72,0,1,0.0,8,11,47,8
Ansu Fati,FW,Spain,20-037,2002,0.5,33,0,2,8,23,4,33,0,2,0.0,1,0,28,5
Ante Budimir,FW,Croatia,31-138,1991,0.5,12,1,1,5,6,2,12,0,0,,1,1,4,2
Anthony Contreras,FW,Costa Rica,22-312,2000,1.4,38,0,3,25,10,2,38,0,0,,3,7,20,1
Antoine Griezmann,MF,France,31-261,1991,3.2,244,3,26,121,102,11,244,2,4,50.0,4,4,168,12
Antoine Semenyo,FW,Ghana,22-334,2000,0.2,6,0,0,2,4,2,6,0,0,,1,1,2,2
Antonee Robinson,DF,United States,25-121,1997,4.0,288,15,70,130,92,3,288,4,5,80.0,13,3,165,13
Antonio Rüdiger,DF,Germany,29-279,1993,3.0,273,22,110,150,14,4,273,0,1,0.0,1,0,215,0
Antony,FW,Brazil,22-286,2000,1.2,102,0,9,40,54,5,102,3,9,33.3,5,4,79,9
António Silva,DF,Portugal,19-038,2003,1.0,67,5,32,35,0,0,67,0,0,,0,0,49,0
Ao Tanaka,MF,Japan,24-088,1998,1.9,84,3,32,39,14,3,84,0,1,0.0,1,1,55,7
Ardon Jasari,FW,Switzerland,20-130,2002,0.0,8,0,1,5,2,0,8,0,1,0.0,0,0,5,0
Arkadiusz Milik,FW,Poland,28-282,1994,1.1,39,1,2,24,13,3,39,1,1,100.0,3,1,31,4
Artur Jędrzejczyk,DF,Poland,35-033,1987,0.2,5,0,2,3,0,0,5,0,0,,0,0,3,0
Asiri Haitham,FW,Saudi Arabia,21-257,2001,0.0,5,1,2,2,1,0,5,0,0,,0,0,1,0
Assim Madibo,MF,Qatar,26-046,1996,1.7,85,1,32,53,1,0,85,0,0,,3,2,46,1
Atiba Hutchinson,MF,Canada,39-302,1983,1.8,131,5,38,72,21,2,131,1,1,100.0,1,2,90,0
Aurélien Tchouaméni,MF,France,22-314,2000,3.6,343,6,57,242,47,3,343,0,0,,4,0,282,4
Awer Mabil,MF,Australia,27-083,1995,0.3,18,0,4,13,1,1,18,0,1,0.0,1,0,13,0
Axel Disasi,DF,France,24-271,1998,1.0,90,4,18,48,25,2,90,1,2,50.0,0,1,50,0
Axel Witsel,MF,Belgium,33-329,1989,3.0,200,11,56,131,17,1,200,0,0,,2,3,140,2
Ayase Ueda,FW,Japan,24-088,1998,0.5,23,1,3,6,15,1,23,0,0,,4,2,15,5
Aymeric Laporte,DF,Spain,28-194,1994,3.3,456,29,151,297,8,2,456,0,0,,2,0,391,1
Aziz Behich,DF,Australia,31-356,1990,4.0,249,16,89,111,53,6,249,8,14,57.1,5,5,139,4
Azzedine Ounahi,MF,Morocco,22-232,2000,3.9,168,3,44,89,36,4,168,4,6,66.7,7,2,121,6
Aïssa Laïdouni,MF,Tunisia,25-359,1996,2.7,156,9,52,78,28,6,156,1,4,25.0,4,3,92,9
Baba Rahman,DF,Ghana,28-158,1994,2.0,121,4,24,60,37,2,121,1,5,20.0,6,0,68,3
Badr Banoun,DF,Morocco,29-068,1993,0.0,1,0,1,0,0,0,1,0,0,,0,0,0,0
Bailey Wright,DF,Australia,30-132,1992,0.2,5,2,3,1,1,0,5,0,0,,0,0,2,0
Bamba Dieng,FW,Senegal,22-259,2000,1.1,32,0,2,16,14,3,32,0,2,0.0,4,4,22,2
Bartosz Bereszyński,DF,Poland,30-148,1992,3.8,197,18,74,88,37,3,197,1,7,14.3,4,3,86,4
Bassam Al-Rawi,DF,Qatar,24-356,1997,1.0,68,7,34,34,0,0,68,1,1,100.0,0,1,47,0
Ben Davies,DF,Wales,29-227,1993,2.6,184,14,75,95,14,3,184,2,3,66.7,1,0,101,1
Benjamin Pavard,DF,France,26-254,1996,1.0,94,0,20,63,12,0,94,0,0,,0,0,72,0
Bernardo Silva,MF,Portugal,28-119,1994,3.0,203,5,32,98,73,7,203,1,4,25.0,2,3,155,9
Borna Barišić,DF,Croatia,30-027,1992,1.3,81,5,22,41,19,2,81,0,0,,1,0,44,1
Borna Sosa,DF,Croatia,24-320,1998,3.0,240,12,72,100,69,3,240,2,3,66.7,3,2,154,6
Boualem Khoukhi,DF,Qatar,32-151,1990,3.0,232,52,151,77,5,4,232,0,3,0.0,2,1,155,0
Boulaye Dia,FW,Senegal,26-021,1996,3.5,81,3,5,27,51,11,81,1,4,25.0,9,8,56,21
Brandon Aguilera,MF,Costa Rica,19-162,2003,1.0,44,1,17,25,3,0,44,2,3,66.7,1,3,31,3
Breel Embolo,FW,Switzerland,25-296,1997,3.6,92,3,4,44,45,10,92,2,6,33.3,10,10,76,23
Brenden Aaronson,MF,United States,22-046,2000,1.2,78,1,9,39,30,7,78,2,11,18.2,8,4,53,4
Brennan Johnson,FW,Wales,21-198,2001,1.0,33,2,6,6,21,7,33,0,5,0.0,3,2,17,4
Bruno Fernandes,FW,Portugal,28-090,1994,3.0,185,5,29,83,74,6,184,0,3,0.0,3,4,141,11
Bruno Guimarães,MF,Brazil,25-021,1997,0.8,67,2,6,28,33,7,67,2,2,100.0,3,2,53,2
Bruno Petković,FW,Croatia,28-082,1994,1.3,56,0,0,31,26,7,56,0,1,0.0,3,1,49,5
Bryan Mbeumo,FW,Cameroon,23-122,1999,2.6,106,2,13,47,48,4,106,1,7,14.3,6,1,76,11
Bryan Oviedo,DF,Costa Rica,32-292,1990,2.9,112,12,49,42,24,1,112,0,2,0.0,1,0,60,4
Bryan Ruiz,MF,Costa Rica,37-111,1985,0.3,14,1,4,10,0,0,14,1,1,100.0,0,0,9,0
Bukayo Saka,FW,England,21-093,2001,2.3,112,2,15,39,59,13,112,1,7,14.3,2,1,82,17
Callum Wilson,FW,England,30-283,1992,0.5,16,0,2,8,7,2,16,0,1,0.0,4,2,13,6
Cameron Carter-Vickers,DF,United States,24-341,1997,1.0,64,9,33,30,1,0,64,0,0,,0,0,42,0
Carlos Gruezo,MF,Ecuador,27-232,1995,0.5,19,0,6,12,2,0,19,0,0,,3,0,15,0
Carlos Martínez,DF,Costa Rica,23-252,1999,0.5,20,2,9,9,2,0,20,0,0,,1,1,8,0
Carlos Soler,MF,Spain,25-339,1997,1.0,88,0,4,56,29,3,88,1,2,50.0,0,1,74,3
Casemiro,MF,Brazil,30-287,1992,3.0,217,8,44,128,46,1,217,0,1,0.0,1,1,145,3
Celso Borges,MF,Costa Rica,34-194,1988,2.8,143,15,56,83,6,0,143,2,2,100.0,2,0,83,1
Charles De Ketelaere,FW,Belgium,21-272,2001,0.2,6,0,2,2,2,1,6,0,0,,1,1,5,0
Charly Rodríguez,MF,Mexico,25-338,1997,0.4,36,0,3,25,8,0,36,2,2,100.0,1,0,26,1
Cheikhou Kouyaté,MF,Senegal,32-351,1989,0.8,34,4,10,16,8,0,34,1,1,100.0,1,0,18,2
Cho Guesung,FW,Korea Republic,24-316,1998,3.1,88,3,11,33,44,12,88,0,5,0.0,5,5,66,14
Cho Yumin,FW,Korea Republic,26-020,1996,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Chris Mepham,DF,Wales,25-032,1997,3.0,199,22,91,99,9,2,199,0,0,,0,0,130,0
Christian Bassogog,MF,Cameroon,27-050,1995,0.3,13,0,1,2,10,3,13,2,4,50.0,0,0,9,3
Christian Eriksen,MF,Denmark,30-296,1992,3.0,253,1,29,142,88,7,253,0,4,0.0,6,3,176,12
Christian Fassnacht,FW,Switzerland,29-026,1993,0.1,12,0,2,4,8,1,12,2,2,100.0,0,0,7,3
Christian Nørgaard,MF,Denmark,28-272,1994,0.1,15,1,3,10,2,0,15,0,0,,0,0,12,1
Christian Pulisic,FW,United States,24-080,1998,3.5,187,1,18,58,116,23,187,4,15,26.7,12,10,137,19
Christopher Wooh,DF,Cameroon,21-080,2001,1.0,45,8,25,18,2,1,45,0,0,,1,2,28,0
Cody Gakpo,FW,Netherlands,23-214,1999,3.8,150,5,14,47,92,5,150,5,6,83.3,12,8,96,11
Collins Fai,DF,Cameroon,30-116,1992,3.0,169,8,50,84,38,0,169,0,2,0.0,1,0,86,2
Connor Roberts,DF,Wales,27-075,1995,2.2,138,8,39,61,38,0,138,0,0,,0,0,81,7
Craig Goodwin,MF,Australia,30-356,1991,2.6,118,4,22,48,48,4,118,0,0,,2,3,74,8
Cristian Romero,DF,Argentina,24-224,1998,2.9,242,20,107,131,6,3,242,1,1,100.0,5,1,185,1
Cristiano Ronaldo,FW,Portugal,37-305,1985,2.8,106,2,5,56,45,15,105,0,4,0.0,7,5,87,22
Cyle Larin,FW,Canada,27-234,1995,1.5,44,2,4,19,22,7,44,1,4,25.0,5,2,33,7
César Azpilicueta,DF,Spain,33-101,1989,1.5,185,1,25,136,27,0,185,0,0,,1,1,149,0
César Montes,DF,Mexico,25-286,1997,3.0,222,19,99,114,10,3,222,2,2,100.0,2,0,158,1
Daichi Kamada,FW,Japan,26-124,1996,3.6,139,4,20,75,45,4,139,3,4,75.0,4,7,93,14
Daizen Maeda,FW,Japan,25-048,1997,2.0,31,0,4,18,11,7,31,0,1,0.0,2,0,13,5
Daley Blind,DF,Netherlands,32-273,1990,4.0,305,6,62,164,80,7,305,1,2,50.0,0,1,211,7
Damian Szymański,MF,Poland,27-174,1995,0.3,9,0,3,6,0,0,9,0,0,,0,0,8,0
Dani Alves,DF,Brazil,39-215,1983,1.3,113,4,22,60,33,1,113,1,2,50.0,1,2,71,4
Dani Carvajal,DF,Spain,30-330,1992,1.5,137,3,32,82,25,0,137,0,0,,1,0,91,3
Dani Olmo,FW,Spain,24-214,1998,4.1,257,2,17,90,152,18,257,4,19,21.1,11,7,200,40
Daniel Amartey,DF,Ghana,27-351,1994,2.8,172,25,102,67,5,1,172,1,1,100.0,0,1,118,1
Daniel Chacón,MF,Costa Rica,21-240,2001,0.0,2,1,2,0,0,0,2,0,0,,0,0,1,0
Daniel James,FW,Wales,25-027,1997,1.7,49,1,4,23,22,2,49,1,4,25.0,4,1,35,7
Daniel Kyereh,MF,Ghana,26-274,1996,0.4,31,3,9,10,12,0,31,2,2,100.0,1,2,18,2
Danilo,DF,Brazil,31-145,1991,1.8,170,6,44,100,26,1,170,1,1,100.0,2,0,130,5
Danilo Pereira,DF,Portugal,31-089,1991,1.0,87,8,43,44,1,0,87,1,1,100.0,1,1,65,0
Danny Ward,GK,Wales,29-168,1993,1.0,42,32,40,2,0,0,42,0,0,,0,0,20,0
Darko Lazović,DF,Serbia,32-083,1990,0.3,14,0,4,7,3,0,14,0,0,,1,0,8,0
Darwin Núñez,FW,Uruguay,23-166,1999,2.7,85,1,10,30,46,5,85,0,4,0.0,11,6,61,24
David Raum,DF,Germany,24-229,1998,2.7,229,4,49,85,99,6,229,2,4,50.0,5,3,138,13
David Wotherspoon,MF,Canada,32-325,1990,0.2,9,0,1,3,5,0,9,1,1,100.0,0,0,7,0
Davy Klaassen,MF,Netherlands,29-289,1993,2.1,96,2,17,45,34,6,96,0,1,0.0,4,3,65,9
Dayot Upamecano,DF,France,24-041,1998,3.0,266,15,105,160,4,1,266,0,0,,1,1,198,1
DeAndre Yedlin,DF,United States,29-151,1993,0.4,32,2,8,10,14,2,32,0,0,,1,0,15,1
Declan Rice,MF,England,23-327,1999,3.6,288,10,69,195,24,1,288,0,2,0.0,1,2,218,2
Dejan Lovren,DF,Croatia,33-155,1989,4.3,333,29,145,185,5,2,333,0,0,,1,0,242,1
Denis Odoi,DF,Ghana,34-194,1988,0.1,7,5,5,2,0,0,7,0,0,,0,0,1,0
Denis Zakaria,MF,Switzerland,26-017,1996,0.7,32,1,6,21,7,0,32,0,2,0.0,1,1,20,2
Denzel Dumfries,DF,Netherlands,26-233,1996,4.0,226,6,41,112,75,10,226,0,7,0.0,12,5,141,13
Devis Epassy,GK,Cameroon,29-308,1993,2.0,93,78,92,1,0,0,93,0,0,,0,0,32,0
Diego Godín,DF,Uruguay,36-294,1986,1.7,116,5,43,72,1,1,116,0,0,,0,0,78,1
Diogo Costa,GK,Portugal,23-079,1999,4.0,144,135,144,0,0,0,144,0,0,,0,1,80,0
Diogo Dalot,DF,Portugal,23-264,1999,2.0,125,5,40,54,31,3,125,1,2,50.0,0,0,75,0
Djibril Sow,MF,Switzerland,25-304,1997,2.9,115,1,11,72,33,3,115,0,2,0.0,4,2,88,11
Djorkaeff Reasco,FW,Ecuador,23-323,1999,0.3,3,0,1,2,0,0,3,0,0,,1,1,4,2
Dominik Livaković,GK,Croatia,27-332,1995,4.3,127,114,127,0,0,0,127,0,0,,0,0,59,0
Dries Mertens,MF,Belgium,35-215,1987,0.8,39,0,3,16,20,5,39,1,1,100.0,1,0,28,7
Dušan Tadić,MF,Serbia,34-017,1988,2.9,150,1,8,59,85,8,150,3,6,50.0,8,3,114,14
Dušan Vlahović,FW,Serbia,22-313,2000,0.9,19,0,3,8,8,3,19,0,1,0.0,3,1,13,3
Dylan Bronn,DF,Tunisia,27-171,1995,1.8,104,2,40,53,12,1,104,0,0,,0,2,70,1
Eden Hazard,MF,Belgium,31-334,1991,1.4,70,0,9,39,24,2,70,5,10,50.0,5,5,56,4
Ederson,GK,Brazil,29-112,1993,1.0,32,30,32,0,0,0,32,0,0,,0,0,14,0
Edimilson Fernandes,FW,Switzerland,26-236,1996,1.6,95,5,27,37,32,1,95,0,1,0.0,2,3,57,5
Edinson Cavani,FW,Uruguay,35-296,1987,1.4,44,0,3,23,18,5,44,1,1,100.0,3,0,34,5
Edouard Mendy,GK,Senegal,30-281,1992,4.0,128,110,128,0,0,0,128,0,0,,0,0,55,0
Edson Álvarez,MF,Mexico,25-044,1997,1.9,131,1,33,87,12,0,131,1,1,100.0,1,2,72,0
Eduardo Camavinga,DF,France,20-027,2002,1.0,106,9,30,44,33,0,106,0,2,0.0,3,3,62,3
Ehsan Hajsafi,MF,IR Iran,32-285,1990,2.6,118,3,34,57,27,2,118,0,2,0.0,2,1,68,2
Ellyes Skhiri,MF,Tunisia,27-211,1995,3.0,161,8,44,108,10,1,161,1,3,33.3,4,1,94,4
Emiliano Martínez,GK,Argentina,30-096,1992,4.0,95,82,95,0,0,0,95,0,0,,0,0,51,0
Enner Valencia,FW,Ecuador,33-033,1989,2.8,98,2,3,41,55,13,97,2,7,28.6,15,6,71,13
Enzo Ebosse,DF,Cameroon,23-271,1999,1.0,49,9,28,21,1,0,49,0,0,,0,0,29,0
