player,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received
Sadegh Moharrami,DF,IR Iran,26-281,1996,1.0,32,5,12,12,8,1,32,1,1,100.0,0,2,14,1
Saeid Ezatolahi,MF,IR Iran,26-067,1996,2.4,115,6,33,66,20,1,115,0,1,0.0,5,0,62,1
Saleh Al-Shehri,FW,Saudi Arabia,29-036,1993,2.5,73,2,5,37,32,12,73,0,2,0.0,8,1,39,9
Salem Al-Dawsari,MF,Saudi Arabia,31-110,1991,3.0,146,1,20,63,68,13,145,2,10,20.0,13,6,106,17
Salis Abdul Samed,MF,Ghana,22-256,2000,2.8,169,15,64,82,24,0,169,3,4,75.0,4,2,121,2
Salman Al-Faraj,MF,Saudi Arabia,33-128,1989,0.5,19,0,1,11,7,0,19,0,0,,1,2,13,1
Sam Adekugbe,DF,Canada,27-325,1995,1.1,77,2,9,48,20,0,77,1,1,100.0,1,0,59,2
Saman Ghoddos,MF,IR Iran,29-092,1993,0.5,24,0,2,7,15,1,24,0,0,,2,1,19,6
Sami Al-Najei,MF,Saudi Arabia,25-303,1997,0.5,25,0,3,5,18,1,25,0,0,,1,1,15,2
Samuel Oum Gouet,MF,Cameroon,24-359,1997,1.1,65,4,23,38,5,0,65,0,0,,1,0,40,0
Sardar Azmoun,FW,IR Iran,27-340,1995,1.4,40,1,5,17,18,8,40,0,1,0.0,0,0,29,3
Saud Abdulhamid,DF,Saudi Arabia,23-142,1999,3.0,150,11,37,61,54,5,150,2,4,50.0,4,1,74,10
Saša Lukić,MF,Serbia,26-116,1996,2.7,182,6,30,132,21,1,182,0,1,0.0,2,2,130,3
Sebastian Szymański,MF,Poland,23-211,1999,1.5,61,3,18,28,16,3,61,1,3,33.3,5,2,35,6
Sebastián Coates,DF,Uruguay,32-061,1990,2.0,107,8,50,53,4,3,107,0,0,,0,2,66,1
Selim Amallah,MF,Morocco,26-022,1996,2.9,78,2,16,44,18,3,78,0,5,0.0,9,5,41,2
Serge Gnabry,FW,Germany,27-146,1995,2.9,148,1,9,42,98,21,148,3,5,60.0,4,7,111,16
Sergej Milinković-Savić,MF,Serbia,27-283,1995,2.6,158,8,33,88,41,4,158,3,6,50.0,7,2,106,7
Sergio Busquets,MF,Spain,34-144,1988,4.0,309,6,46,209,54,1,309,1,1,100.0,2,2,237,13
Sergio Rochet,GK,Uruguay,29-259,1993,3.0,88,78,87,1,0,0,88,0,0,,1,0,35,0
Sergiño Dest,DF,United States,22-034,2000,3.4,250,10,58,115,80,6,250,5,13,38.5,9,8,178,3
Shaquell Moore,DF,United States,26-035,1996,0.2,27,4,12,7,8,2,27,0,0,,0,0,16,1
Shogo Taniguchi,DF,Japan,31-145,1991,2.3,105,16,49,51,6,3,105,0,0,,0,0,62,0
Shūichi Gonda,GK,Japan,33-279,1989,4.3,124,106,124,0,0,0,124,0,0,,0,0,49,0
Silvan Widmer,DF,Switzerland,29-277,1993,2.9,208,13,67,95,47,6,208,1,2,50.0,5,6,126,8
